Role_Title,Category,Country_Path,Masters_Degree,Masters_Cost_USD,Acceptance_Ease_1_10,Placements_1_10,Global_Employers_Count,Layoff_Recovery_Ease_1_10,Interview_Comp_1_10,Salary_Fresher_USD,Salary_5Yr_USD,Salary_10Yr_USD,Salary_20Yr_USD,Salary_Max_USD,Fresher_Stability_1_10,Senior_Stability_1_10,PR_Ease_1_10,PR_Timeline_Years,AI_Resilience_20Yr_Pct,Remote_Work_1_10,Personal_Profile_Fit_1_10,Cognitive_Alignment_1_10,Primary_Skill,Secondary_Skill,Mid_Career_Role,Endgame_Role
Software Engineer,Software and Cloud,High-Risk: USA,MS Computer Science,68000,7,9,180000,9,8,125000,180000,260000,360000,600000,7,9,2,8.5,65,9,8,9,Coding,Systems Architecture,Staff Engineer / Engineering Manager,Chief Technology Officer (CTO)
Software Engineer,Software and Cloud,Safe: AUS/NZ,MS Computer Science,48000,8,8,42000,9,7,92000,135000,185000,240000,340000,8,9,7,3.5,65,8,8,9,Coding,Systems Architecture,Staff Engineer / Engineering Manager,Chief Technology Officer (CTO)
Software Engineer,Software and Cloud,Safe: CAN,MS Computer Science,36000,7,8,55000,9,7,85000,122000,165000,215000,300000,8,9,8,2.5,65,8,8,9,Coding,Systems Architecture,Staff Engineer / Engineering Manager,Chief Technology Officer (CTO)
Software Engineer,Software and Cloud,Moderate-Risk: SGP,MS Computer Science,42000,7,9,22000,8,8,98000,145000,205000,275000,420000,8,9,5,4,65,7,8,9,Coding,Systems Architecture,Staff Engineer / Engineering Manager,Chief Technology Officer (CTO)
Cloud & DevOps Engineer,Software and Cloud,High-Risk: USA,MS CompSci / Cloud Systems,66000,7,9,85000,9,7,130000,185000,260000,350000,520000,8,9,2,8.5,75,9,8,9,Cloud Infrastructure,Reliability Engineering,Principal DevOps / Infrastructure Lead,VP of Infrastructure / Cloud Architect
Cloud & DevOps Engineer,Software and Cloud,Safe: AUS/NZ,MS CompSci / Cloud Systems,48000,8,8,20000,9,6,95000,138000,188000,245000,330000,9,9,7,3.5,75,8,8,9,Cloud Infrastructure,Reliability Engineering,Principal DevOps / Infrastructure Lead,VP of Infrastructure / Cloud Architect
Cloud & DevOps Engineer,Software and Cloud,Safe: CAN,MS CompSci / Cloud Systems,35000,7,8,28000,9,6,88000,125000,165000,215000,285000,9,9,8,2.5,75,8,8,9,Cloud Infrastructure,Reliability Engineering,Principal DevOps / Infrastructure Lead,VP of Infrastructure / Cloud Architect
Cloud & DevOps Engineer,Software and Cloud,Moderate-Risk: SGP,MS CompSci / Cloud Systems,42000,7,9,14000,8,7,102000,150000,210000,285000,440000,9,9,5,4,75,8,8,9,Cloud Infrastructure,Reliability Engineering,Principal DevOps / Infrastructure Lead,VP of Infrastructure / Cloud Architect
Data & ML Engineer,AI ML,High-Risk: USA,MS Artificial Intelligence / CS,75000,7,8,95000,8,9,140000,215000,310000,430000,650000,6,8,2,8.5,72,8,5,9,Machine Learning,Data Engineering,Lead AI Architect / ML Manager,Chief AI Officer (CAIO) / VP of AI
Data & ML Engineer,AI ML,Safe: AUS/NZ,MS Artificial Intelligence / CS,54000,8,7,22000,8,8,102000,152000,220000,295000,420000,7,8,7,3.5,72,7,5,9,Machine Learning,Data Engineering,Lead AI Architect / ML Manager,Chief AI Officer (CAIO) / VP of AI
