Role_Title,Country_Path,Masters_Degree,Masters_Cost_USD,Admission_Comp_1_10,Direct_Hire_1_10,Global_Employers_Count,Interview_Comp_1_10,Salary_Fresher_USD,Salary_5Yr_USD,Salary_10Yr_USD,Salary_20Yr_USD,Salary_Max_USD,Fresher_Volatility_1_10,Senior_Stability_1_10,PR_Difficulty_1_10,PR_Timeline_Years,AI_Displacement_20Yr_Pct,Remote_Work_1_10,Undergrad_Fit_1_10,Cognitive_Alignment_1_10
Synthetic Data Env Artist,High-Risk: USA,MS CompSci (Graphics),72000,8,8,5400,8,112000,162000,224000,290000,380000,6,6,9,9.0,32,8,8,9
Synthetic Data Env Artist,Safe: AUS/NZ,MS CompSci (Graphics),50000,6,7,1500,6,78000,110000,140000,170000,225000,4,7,4,3.5,32,7,8,9
Synthetic Data Env Artist,Safe: CAN,MS CompSci (Graphics),42000,6,7,2100,6,70000,98000,128000,155000,200000,4,7,3,2.5,32,7,8,9
Sim2Real Tech Director,High-Risk: USA,MS Robotics Eng,84000,9,7,1800,9,134000,195000,285000,380000,520000,5,8,8,7.5,14,4,7,8
Sim2Real Tech Director,Safe: AUS/NZ,MS Robotics Eng,54000,7,5,450,8,92000,130000,165000,200000,250000,4,9,4,3.5,14,4,7,8
Sim2Real Tech Director,Safe: CAN,MS Robotics Eng,46000,7,5,600,8,84000,118000,148000,185000,220000,4,9,3,2.5,14,4,7,8
Digital Twin Architect,High-Risk: USA,MS Systems Eng,68000,7,8,8200,7,118000,172000,245000,320000,420000,5,8,9,8.5,22,6,9,9
Digital Twin Architect,Safe: AUS/NZ,MS Systems Eng,48000,5,7,2200,6,86000,120000,155000,180000,240000,3,8,4,3.5,22,6,9,9
Digital Twin Architect,Safe: CAN,MS Systems Eng,39000,5,7,3200,6,78000,108000,138000,165000,210000,3,8,3,2.5,22,6,9,9
Virtual Prod Tech Artist,High-Risk: USA,MS Tech Art (VFX),88000,8,6,2400,8,96000,148000,212000,280000,340000,8,6,9,8.5,26,3,7,10
Virtual Prod Tech Artist,Safe: AUS/NZ,MS Tech Art (VFX),52000,6,6,600,7,72000,104000,138000,165000,210000,7,6,4,3.5,26,3,7,10
Virtual Prod Tech Artist,Safe: CAN,MS Tech Art (VFX),44000,6,6,850,7,64000,92000,120000,145000,185000,7,6,3,2.5,26,3,7,10
Spatial Computing Strategist,High-Risk: USA,MS HCI / Spatial Tech,74000,7,6,1600,7,122000,178000,255000,340000,440000,7,6,9,9.0,34,7,8,7
Spatial Computing Strategist,Safe: AUS/NZ,MS HCI / Spatial Tech,48000,5,5,300,6,88000,132000,165000,195000,240000,6,6,4,3.5,34,7,8,7
Spatial Computing Strategist,Safe: CAN,MS HCI / Spatial Tech,42000,5,5,400,6,82000,120000,148000,175000,215000,6,6,3,2.5,34,7,8,7
Rendering Pipeline Eng,High-Risk: USA,MS CompSci (Systems),70000,8,9,4200,9,142000,212000,305000,410000,560000,4,9,9,8.0,16,6,8,9
Rendering Pipeline Eng,Safe: AUS/NZ,MS CompSci (Systems),46000,7,8,1100,8,95000,138000,178000,215000,285000,3,9,4,3.5,16,6,8,9
Rendering Pipeline Eng,Safe: CAN,MS CompSci (Systems),38000,7,8,1500,8,88000,126000,158000,195000,255000,3,9,3,2.5,16,6,8,9
Interactive Systems Des,High-Risk: USA,MS Interactive Media,78000,7,7,6200,7,104000,152000,198000,260000,340000,7,6,9,9.0,38,8,8,10
Interactive Systems Des,Safe: AUS/NZ,MS Interactive Media,48000,5,7,1800,6,76000,108000,135000,160000,200000,6,6,4,3.5,38,8,8,10
Interactive Systems Des,Safe: CAN,MS Interactive Media,40000,5,7,2400,6,70000,98000,120000,145000,180000,6,6,3,2.5,38,8,8,10
Industrial Sim Architect (Ports/Factories),High-Risk: USA,MS Industrial Eng / Robotics,65000,7,8,4500,7,105000,150000,210000,280000,350000,4,9,9,8.5,18,4,8,9
Industrial Sim Architect (Ports/Factories),Safe: AUS/NZ,MS Industrial / Systems Eng,55000,6,7,1200,6,82000,115000,145000,175000,210000,3,9,5,3.5,18,3,8,9
